Team,#,POS.,FIFA POPULAR NAME,BIRTH DATE,SHIRT NAME,CLUB,HEIGHT,WEIGHT,ilk isim,soyisim
Panama,1,GK,PENEDO Jaime,26.09.1981,PENEDO,Dinamo Bucharest (ROU),183,70,PENEDO,Jaime
Panama,8,MF,BARCENAS Edgar,23.10.1993,BARCENAS,Cafetaleros de Tapachula (MEX),175,72,BARCENAS,Edgar
Panama,10,FW,DIAZ Ismael,12.05.1997,DIAZ,Deportivo La Coruña (ESP),181,72,DIAZ,Ismael
Panama,11,MF,COOPER Armando,26.11.1987,COOPER,Club Universidad de Chile (CHI),173,72,COOPER,Armando
Panama,17,DF,OVALLE Luis,07.09.1988,OVALLE,CD Olimpia (HON),178,75,OVALLE,Luis
Panama,9,FW,TORRES Gabriel,31.10.1988,G. TORRES,CD Huachipato (CHI),180,77,TORRES,Gabriel
Panama,21,MF,RODRIGUEZ Jose Luis,19.06.1998,J. RODRIGUEZ,KAA Gent (BEL),180,77,RODRIGUEZ,Jose Luis
Panama,2,DF,MURILLO Michael,11.02.1996,MURILLO,New York Red Bulls (USA),183,78,MURILLO,Michael
Panama,13,DF,MACHADO Adolfo,14.02.1985,MACHADO,Houston Dynamo (USA),182,78,MACHADO,Adolfo
Panama,14,MF,PIMENTEL Valentin,30.05.1991,PIMENTEL,Plaza Amador (PAN),189,80,PIMENTEL,Valentin
Panama,15,DF,DAVIS Eric,31.03.1991,DAVIS,DAC Dunajska Streda (SVK),180,81,DAVIS,Eric
Panama,4,DF,ESCOBAR Fidel,09.01.1995,ESCOBAR,New York Red Bulls (USA),182,82,ESCOBAR,Fidel
Panama,6,MF,GOMEZ Gabriel,29.05.1984,GOMEZ,Atlético Bucaramanga (COL),183,82,GOMEZ,Gabriel
Panama,16,FW,ARROYO Abdiel,13.12.1993,ARROYO,LD Alajuelense (CRC),183,82,ARROYO,Abdiel
Panama,20,MF,GODOY Anibal,10.02.1990,GODOY,San Jose Earthquakes (USA),183,82,GODOY,Anibal
Panama,7,FW,PEREZ Blas,13.03.1981,PEREZ,CSD Municipal (GUA),187,83,PEREZ,Blas
Panama,22,GK,RODRIGUEZ Alex,05.08.1990,RODRIGUEZ,San Francisco FC (PAN),197,83,RODRIGUEZ,Alex
Panama,12,GK,CALDERON Jose,14.08.1985,CALDERON,Chorrillo FC (PAN),187,87,CALDERON,Jose
Panama,18,FW,TEJADA Luis,28.03.1982,TEJADA,Sport Boys (PER),183,87,TEJADA,Luis
Panama,23,DF,BALOY Felipe,24.02.1981,BALOY,CSD Municipal (GUA),185,87,BALOY,Felipe
Panama,3,DF,CUMMINGS Harold,01.03.1992,CUMMINGS,San Jose Earthquakes (USA),183,92,CUMMINGS,Harold
Panama,5,DF,TORRES Roman,20.03.1986,R. TORRES,Seattle Sounders FC (USA),188,99,TORRES,Roman
Peru,7,MF,HURTADO Paolo,27.07.1990,HURTADO,Vitoria Guimaraes (POR),174,66,HURTADO,Paolo
Peru,11,FW,RUIDIAZ Raul,25.07.1990,RUIDIAZ,CA Monarcas Morelia (MEX),169,67,RUIDIAZ,Raul
Peru,22,DF,LOYOLA Nilson,26.10.1994,LOYOLA,FBC Melgar (PER),179,68,LOYOLA,Nilson
Peru,8,MF,CUEVA Christian,23.11.1991,CUEVA,Sao Paulo FC (BRA),169,69,CUEVA,Christian
Peru,19,MF,YOTUN Yoshimar,07.04.1990,YOTUN,Orlando City SC (USA),172,69,YOTUN,Yoshimar
Peru,14,MF,POLO Andy,29.09.1994,POLO,Portland Timbers (USA),174,71,POLO,Andy
Peru,23,MF,AQUINO Pedro,13.04.1995,AQUINO,Lobos BUAP (MEX),174,71,AQUINO,Pedro
Peru,15,DF,RAMOS Christian,04.11.1988,RAMOS,CD Tiburones Rojos de Veracruz (MEX),182,72,RAMOS,Christian
Peru,20,FW,FLORES Edison,14.05.1994,FLORES,Aalborg BK (DEN),170,72,FLORES,Edison
Peru,6,DF,TRAUCO Miguel,25.08.1992,TRAUCO,CR Flamengo (BRA),169,74,TRAUCO,Miguel
Peru,3,DF,CORZO Aldo,20.05.1989,CORZO,Universitario Lima (PER),172,75,CORZO,Aldo
Peru,16,MF,CARTAGENA Wilder,23.09.1994,CARTAGENA,CD Tiburones Rojos de Veracruz (MEX),179,76,CARTAGENA,Wilder
Peru,5,DF,ARAUJO Miguel,24.10.1994,ARAUJO,Alianza Lima (PER),178,77,ARAUJO,Miguel
Peru,18,FW,CARRILLO Andre,14.06.1991,CARRILLO,Watford FC (ENG),182,77,CARRILLO,Andre
Peru,2,DF,RODRIGUEZ Alberto,31.03.1984,RODRIGUEZ,Atletico Junior (COL),179,78,RODRIGUEZ,Alberto
Peru,12,GK,CACEDA Carlos,27.09.1991,CACEDA,Deportivo Municipal (PER),184,78,CACEDA,Carlos
Peru,1,GK,GALLESE Pedro,23.02.1990,GALLESE,CD Tiburones Rojos de Veracruz (MEX),189,79,GALLESE,Pedro
Peru,17,DF,ADVINCULA Luis,02.03.1990,ADVINCULA,Lobos BUAP (MEX),178,80,ADVINCULA,Luis
Peru,4,DF,SANTAMARIA Anderson,10.01.1992,SANTAMARIA,Puebla FC (MEX),183,84,SANTAMARIA,Anderson
Peru,21,GK,CARVALLO Jose,01.03.1986,CARVALLO,Universidad Técnica de Cajamarca (PER),182,84,CARVALLO,Jose
Peru,10,FW,FARFAN Jefferson,26.10.1984,FARFAN,FC Lokomotiv Moscow (RUS),177,85,FARFAN,Jefferson
Peru,13,MF,TAPIA Renato,28.07.1995,TAPIA,Feyenoord Rotterdam (NED),185,85,TAPIA,Renato
Peru,9,FW,GUERRERO Paolo,01.01.1984,GUERRERO,CR Flamengo (BRA),185,88,GUERRERO,Paolo
Poland,19,MF,ZIELINSKI Piotr,20.05.1994,ZIELINSKI,SSC Napoli (ITA),177,64,ZIELINSKI,Piotr
Poland,6,MF,GORALSKI Jacek,21.09.1992,GORALSKI,PFC Ludogorets Razgrad (BUL),172,66,GORALSKI,Jacek
Poland,17,MF,PESZKO Slawomir,19.02.1985,PESZKO,Lechia Gdansk (POL),173,68,PESZKO,Slawomir
Poland,16,MF,BLASZCZYKOWSKI Jakub,14.12.1985,BLASZCZYKOWSKI,VfL Wolfsburg (GER),175,71,BLASZCZYKOWSKI,Jakub
Poland,18,DF,BERESZYNSKI Bartosz,12.07.1992,BERESZYNSKI,UC Sampdoria (ITA),182,72,BERESZYNSKI,Bartosz
Poland,8,MF,LINETTY Karol,02.02.1995,LINETTY,UC Sampdoria (ITA),176,73,LINETTY,Karol
Poland,21,MF,KURZAWA Rafal,29.01.1993,KURZAWA,Gornik Zabrze (POL),182,73,KURZAWA,Rafal
Poland,13,MF,RYBUS Maciej,19.08.1989,RYBUS,FC Lokomotiv Moscow (RUS),173,75,RYBUS,Maciej
Poland,23,FW,KOWNACKI Dawid,14.03.1997,KOWNACKI,UC Sampdoria (ITA),185,75,KOWNACKI,Dawid
Poland,5,DF,BEDNAREK Jan,12.04.1996,BEDNAREK,Southampton FC (ENG),189,77,BEDNAREK,Jan
Poland,2,DF,PAZDAN Michal,21.09.1987,PAZDAN,Legia Warsaw (POL),181,78,PAZDAN,Michal
Poland,3,DF,JEDRZEJCZYK Artur,04.11.1987,JEDRZEJCZYK,Legia Warsaw (POL),189,78,JEDRZEJCZYK,Artur
Poland,11,MF,GROSICKI Kamil,08.06.1988,GROSICKI,Hull City FC (ENG),180,78,GROSICKI,Kamil
Poland,14,FW,TEODORCZYK Lukasz,03.06.1991,TEODORCZYK,RSC Anderlecht (BEL),185,78,TEODORCZYK,Lukasz
Poland,9,FW,LEWANDOWSKI Robert,21.08.1988,LEWANDOWSKI,FC Bayern München (GER),185,79,LEWANDOWSKI,Robert
Poland,20,DF,PISZCZEK Lukasz,03.06.1985,PISZCZEK,Borussia Dortmund (GER),184,79,PISZCZEK,Lukasz
Poland,15,DF,GLIK Kamil,03.02.1988,GLIK,AS Monaco (FRA),190,80,GLIK,Kamil
Poland,4,DF,CIONEK Thiago,21.04.1986,CIONEK,SPAL Ferrara (ITA),184,81,CIONEK,Thiago
Poland,7,FW,MILIK Arkadiusz,28.02.1994,MILIK,SSC Napoli (ITA),186,81,MILIK,Arkadiusz
Poland,10,MF,KRYCHOWIAK Grzegorz,29.01.1990,KRYCHOWIAK,West Bromwich Albion FC (ENG),186,83,KRYCHOWIAK,Grzegorz
Poland,12,GK,BIALKOWSKI Bartosz,06.07.1987,BIALKOWSKI,Ipswich Town FC (ENG),194,83,BIALKOWSKI,Bartosz
Poland,22,GK,FABIANSKI Lukasz,18.04.1985,FABIANSKI,Swansea City AFC (WAL),190,83,FABIANSKI,Lukasz
Poland,1,GK,SZCZESNY Wojciech,18.04.1990,SZCZESNY,Juventus FC (ITA),195,84,SZCZESNY,Wojciech
Portugal,8,MF,JOAO MOUTINHO,08.09.1986,J. MOUTINHO,AS Monaco (FRA),170,61,JOAO,MOUTINHO
Portugal,18,FW,GELSON MARTINS,11.05.1995,GELSON,Sporting CP (POR),173,63,GELSON,MARTINS
Portugal,5,DF,RAPHAEL GUERREIRO,22.12.1993,RAPHAEL,Borussia Dortmund (GER),170,64,RAPHAEL,GUERREIRO
Portugal,16,MF,BRUNO FERNANDES,08.09.1994,B. FERNANDES,Sporting CP (POR),183,64,BRUNO,FERNANDES
Portugal,11,MF,BERNARDO SILVA,10.08.1994,BERNARDO,Manchester City FC (ENG),173,65,BERNARDO,SILVA
Portugal,19,DF,MARIO RUI,27.05.1991,MÁRIO RUI,SSC Napoli (ITA),168,67,MARIO,RUI
Portugal,21,DF,CEDRIC,31.08.1991,CÉDRIC,Southampton FC (ENG),172,67,CEDRIC,
Portugal,4,MF,MANUEL FERNANDES,05.02.1986,M. FERNANDES,FC Lokomotiv Moscow (RUS),174,69,MANUEL,FERNANDES
Portugal,15,DF,RICARDO,06.10.1993,RICARDO,FC Porto (POR),174,70,RICARDO,
Portugal,17,FW,GONCALO GUEDES,29.11.1996,G. GUEDES,Valencia CF (ESP),179,72,GONCALO,GUEDES
Portugal,23,MF,ADRIEN SILVA,15.03.1989,ADRIEN,Leicester City FC (ENG),176,72,ADRIEN,SILVA
Portugal,10,MF,JOAO MARIO,19.01.1993,J. MÁRIO,West Ham United FC (ENG),179,73,JOAO,MARIO
Portugal,20,FW,RICARDO QUARESMA,26.09.1983,QUARESMA,Besiktas JK (TUR),175,73,RICARDO,QUARESMA
Portugal,9,FW,ANDRE SILVA,06.11.1995,ANDRÉ SILVA,AC Milan (ITA),184,78,ANDRE,SILVA
Portugal,22,GK,BETO,01.05.1982,BETO,Goztepe SK (TUR),183,79,BETO,
Portugal,7,FW,CRISTIANO RONALDO,05.02.1985,RONALDO,Real Madrid CF (ESP),185,80,CRISTIANO,RONALDO
Portugal,14,MF,WILLIAM,07.04.1992,WILLIAM,Sporting CP (POR),190,80,WILLIAM,
Portugal,3,DF,PEPE,26.02.1983,PEPE,Besiktas JK (TUR),188,81,PEPE,
Portugal,12,GK,ANTHONY LOPES,01.10.1990,LOPES,Olympique Lyon (FRA),184,81,ANTHONY,LOPES
Portugal,2,DF,BRUNO ALVES,27.11.1981,B. ALVES,Rangers FC (SCO),187,83,BRUNO,ALVES
Portugal,13,DF,RUBEN DIAS,14.05.1997,RUBEN DIAS,SL Benfica (POR),187,83,RUBEN,DIAS
Portugal,1,GK,RUI PATRICIO,15.02.1988,RUI PATRICIO,Sporting CP (POR),189,84,RUI,PATRICIO
Portugal,6,DF,JOSE FONTE,22.12.1983,FONTE,Dalian Yifang FC (CHN),191,84,JOSE,FONTE
Russia,16,MF,MIRANCHUK Anton,17.10.1995,MIRANCHUK AN.,FC Lokomotiv Moscow (RUS),182,67,MIRANCHUK,Anton
Russia,6,MF,CHERYSHEV Denis,26.12.1990,CHERYSHEV,Villarreal CF (ESP),173,68,CHERYSHEV,Denis
Russia,17,MF,GOLOVIN Aleksandr,30.05.1996,GOLOVIN,CSKA Moscow (RUS),178,70,GOLOVIN,Aleksandr
Russia,23,DF,SMOLNIKOV Igor,08.08.1988,SMOLNIKOV,FC Zenit St. Petersburg (RUS),179,72,SMOLNIKOV,Igor
Russia,9,MF,DZAGOEV Alan,17.06.1990,DZAGOEV,CSKA Moscow (RUS),178,73,DZAGOEV,Alan
Russia,7,MF,KUZIAEV Daler,15.01.1993,KUZIAEV,FC Zenit St. Petersburg (RUS),182,74,KUZIAEV,Daler
Russia,19,MF,SAMEDOV Alexander,19.07.1984,SAMEDOV,FC Spartak Moscow (RUS),178,74,SAMEDOV,Alexander
Russia,8,MF,GAZINSKY Iury,20.07.1989,GAZINSKII,FC Krasnodar (RUS),180,75,GAZINSKY,Iury
Russia,18,MF,ZHIRKOV Yury,20.08.1983,ZHIRKOV,FC Zenit St. Petersburg (RUS),180,76,ZHIRKOV,Yury
Russia,11,MF,ZOBNIN Roman,11.02.1994,ZOBNIN,FC Spartak Moscow (RUS),185,77,ZOBNIN,Roman
Russia,15,MF,MIRANCHUK Alexey,17.10.1995,MIRANCHUK AL.,FC Lokomotiv Moscow (RUS),185,77,MIRANCHUK,Alexey
Russia,13,DF,KUDRIASHOV Fedor,05.04.1987,KUDRIASHOV,FC Rubin Kazan (RUS),187,78,KUDRIASHOV,Fedor
Russia,2,DF,MARIO FERNANDES,19.09.1990,FERNANDES,CSKA Moscow (RUS),187,79,MARIO,FERNANDES
Russia,10,FW,SMOLOV Fedor,09.02.1990,SMOLOV,FC Krasnodar (RUS),185,79,SMOLOV,Fedor
Russia,21,MF,EROKHIN Aleksandr,13.10.1989,EROKHIN,FC Zenit St. Petersburg (RUS),191,79,EROKHIN,Aleksandr
Russia,12,GK,LUNEV Andrei,13.11.1991,LUNEV,FC Zenit St. Petersburg (RUS),189,80,LUNEV,Andrei
Russia,14,DF,GRANAT Vladimir,22.05.1987,GRANAT,FC Rubin Kazan (RUS),184,80,GRANAT,Vladimir
Russia,20,GK,GABULOV Vladimir,19.10.1983,GABULOV,Club Brugge KV (BEL),190,81,GABULOV,Vladimir
Russia,3,DF,KUTEPOV Ilya,29.07.1993,KUTEPOV,FC Spartak Moscow (RUS),190,82,KUTEPOV,Ilya
Russia,1,GK,AKINFEEV Igor,08.04.1986,AKINFEEV,CSKA Moscow (RUS),185,83,AKINFEEV,Igor
Russia,4,DF,IGNASHEVICH Sergey,14.07.1979,IGNASHEVICH,CSKA Moscow (RUS),186,84,IGNASHEVICH,Sergey
Russia,5,DF,SEMENOV Andrey,24.03.1989,SEMENOV,FC Akhmat Grozny (RUS),191,87,SEMENOV,Andrey
Russia,22,FW,DZYUBA Artem,22.08.1988,DZYUBA,FC Arsenal Tula (RUS),196,90,DZYUBA,Artem
Saudi Arabia,6,DF,MOHAMMED ALBURAYK,15.09.1992,ALBURAYK,Al Hilal SFC (KSA),173,61,MOHAMMED,ALBURAYK
Saudi Arabia,7,MF,SALMAN ALFARAJ,01.08.1989,SALMAN,Al Hilal SFC (KSA),179,63,SALMAN,ALFARAJ
Saudi Arabia,8,MF,YAHIA ALSHEHRI,26.06.1990,YAHIA,CD Leganés (ESP),165,63,YAHIA,ALSHEHRI
Saudi Arabia,13,DF,YASIR ALSHAHRANI,25.05.1992,YASIR,Al Hilal SFC (KSA),170,63,YASIR,ALSHAHRANI
Saudi Arabia,19,FW,FAHAD ALMUWALLAD,14.09.1994,FAHAD,Levante UD (ESP),168,65,FAHAD,ALMUWALLAD
Saudi Arabia,9,MF,HATAN BAHBIR,16.07.1992,HATAN,Al Shabab FC (KSA),170,66,HATAN,BAHBIR
Saudi Arabia,14,MF,ABDULLAH OTAYF,03.08.1992,OTAYF,Al Hilal SFC (KSA),177,66,ABDULLAH,OTAYF
Saudi Arabia,15,MF,ABDULLAH ALKHAIBARI,16.08.1996,ALKHAIBARI,Al Shabab FC (KSA),175,66,ABDULLAH,ALKHAIBARI
Saudi Arabia,2,DF,MANSOUR ALHARBI,19.10.1987,MANSOUR,Al Ahli SC (KSA),173,68,MANSOUR,ALHARBI
Saudi Arabia,18,MF,SALEM ALDAWSARI,19.08.1991,SALEM,Villarreal CF (ESP),174,68,SALEM,ALDAWSARI
Saudi Arabia,17,MF,TAISEER ALJASSAM,25.07.1984,TAISEER,Al Ahli SC (KSA),169,69,TAISEER,ALJASSAM
Saudi Arabia,11,MF,ABDULMALEK ALKHAIBRI,13.03.1986,ABDULMALEK,Al Hilal SFC (KSA),177,73,ABDULMALEK,ALKHAIBRI
Saudi Arabia,12,MF,MOHAMED KANNO,22.09.1994,KANNO,Al Hilal SFC (KSA),192,73,MOHAMED,KANNO
Saudi Arabia,10,FW,MOHAMMED ALSAHLAWI,10.01.1987,ALSAHLAWI,Al Nassr FC (KSA),179,75,MOHAMMED,ALSAHLAWI
Saudi Arabia,5,DF,OMAR OTHMAN,27.09.1985,OMAR,Al Nassr FC (KSA),185,76,OMAR,OTHMAN
Saudi Arabia,16,MF,HUSSAIN ALMOQAHWI,24.03.1988,HUSSAIN,Al Ahli SC (KSA),174,76,HUSSAIN,ALMOQAHWI
Saudi Arabia,20,FW,MUHANNAD ASIRI,14.10.1986,MUHANNAD,Al Ahli SC (KSA),185,79,MUHANNAD,ASIRI
Saudi Arabia,22,GK,MOHAMMED ALOWAIS,10.10.1991,ALOWAIS,Al Ahli SC (KSA),187,79,MOHAMMED,ALOWAIS
Saudi Arabia,23,DF,MOTAZ HAWSAWI,17.02.1992,MOTAZ,Al Ahli SC (KSA),180,79,MOTAZ,HAWSAWI
Saudi Arabia,3,DF,OSAMA HAWSAWI,31.03.1984,OSAMA,Al Hilal SFC (KSA),188,83,OSAMA,HAWSAWI
Saudi Arabia,4,DF,ALI ALBULAYHI,21.11.1989,ALI,Al Hilal SFC (KSA),182,83,ALI,ALBULAYHI
Saudi Arabia,21,GK,YASSER ALMOSAILEM,27.02.1984,ALMOSAILEM,Al Ahli SC (KSA),186,88,YASSER,ALMOSAILEM
Saudi Arabia,1,GK,ABDULLAH ALMUAIOUF,23.01.1987,ABDULLAH,Al Hilal SFC (KSA),178,98,ABDULLAH,ALMUAIOUF
Senegal,5,MF,GUEYE Idrissa Gana,26.09.1989,GANA,Everton FC (ENG),174,64,GUEYE,Idrissa Gana
Senegal,2,DF,CISS Saliou,15.06.1989,CISS,Valenciennes FC (FRA),173,69,CISS,Saliou
Senegal,10,FW,MANE Sadio,10.04.1992,MANE,Liverpool FC (ENG),175,69,MANE,Sadio
Senegal,18,FW,SARR Ismaila,25.02.1998,ISMAÏLA,Stade Rennais FC (FRA),175,70,SARR,Ismaila
Senegal,22,DF,WAGUE Moussa,04.10.1998,M. WAGUE,KAS Eupen (BEL),177,70,WAGUE,Moussa
Senegal,12,DF,SABALY Youssouf,05.03.1993,SABALY,FC Girondins Bordeaux (FRA),174,71,SABALY,Youssouf
Senegal,17,MF,NDIAYE Pape Alioune,27.10.1990,P.A. NDIAYE,Stoke City FC (ENG),181,74,NDIAYE,Pape Alioune
Senegal,19,FW,NIANG Mbaye,19.12.1994,NIANG,Torino FC (ITA),184,74,NIANG,Mbaye
Senegal,21,DF,GASSAMA Lamine,20.10.1989,GASSAMA,Adanaspor (TUR),181,74,GASSAMA,Lamine
Senegal,7,FW,SOW Moussa,19.01.1986,SOW,Bursaspor (TUR),180,75,SOW,Moussa
Senegal,8,MF,KOUYATE Cheikhou,21.12.1989,C. KOUYATE,West Ham United FC (ENG),189,75,KOUYATE,Cheikhou
Senegal,20,FW,BALDE Keita,08.03.1995,KEÏTA BALDE,AS Monaco (FRA),181,77,BALDE,Keita
Senegal,14,FW,KONATE Moussa,03.04.1993,KONATE,Amiens SC (FRA),180,78,KONATE,Moussa
Senegal,1,GK,DIALLO Abdoulaye,30.03.1992,DIALLO,Stade Rennais FC (FRA),189,79,DIALLO,Abdoulaye
Senegal,15,FW,SAKHO Diafra,24.12.1989,SAKHO,Stade Rennais FC (FRA),184,79,SAKHO,Diafra
Senegal,13,MF,NDIAYE Alfred,06.03.1990,A. NDIAYE,Wolverhampton Wanderers FC (ENG),186,80,NDIAYE,Alfred
Senegal,16,GK,NDIAYE Khadim,05.04.1985,KH. NDIAYE,Horoya AC (GUI),185,80,NDIAYE,Khadim
Senegal,23,GK,GOMIS Alfred,05.09.1993,GOMIS,SPAL Ferrara (ITA),196,80,GOMIS,Alfred
Senegal,9,FW,DIOUF Mame,16.12.1987,M. DIOUF,Stoke City FC (ENG),185,81,DIOUF,Mame
Senegal,6,MF,SANE Salif,25.08.1990,S. SANE,Hannover 96 (GER),196,84,SANE,Salif
Senegal,4,DF,MBODJI Kara,22.11.1989,KARA,RSC Anderlecht (BEL),192,85,MBODJI,Kara
Senegal,3,DF,KOULIBALY Kalidou,20.06.1991,KOULIBALY,SSC Napoli (ITA),195,89,KOULIBALY,Kalidou
Senegal,11,MF,NDOYE Cheikh,29.03.1986,CH. NDOYE,Birmingham City FC (ENG),192,90,NDOYE,Cheikh
Serbia,7,MF,ZIVKOVIC Andrija,11.07.1996,ŽIVKOVIĆ,SL Benfica (POR),169,68,ZIVKOVIC,Andrija
Serbia,14,DF,RODIC Milan,02.04.1991,RODIĆ,FK Crvena Zvezda (SRB),185,69,RODIC,Milan
Serbia,2,DF,RUKAVINA Antonio,26.01.1984,RUKAVINA,Villarreal CF (ESP),177,71,RUKAVINA,Antonio
Serbia,22,MF,LJAJIC Adem,29.09.1991,LJAJIĆ,Torino FC (ITA),182,74,LJAJIC,Adem
Serbia,19,FW,JOVIC Luka,23.12.1997,JOVIĆ,Eintracht Frankfurt (GER),181,75,JOVIC,Luka
Serbia,10,MF,TADIC Dusan,20.11.1988,TADIĆ,Southampton FC (ENG),181,76,TADIC,Dusan
Serbia,18,FW,RADONJIC Nemanja,15.02.1996,RADONJIĆ,FK Crvena Zvezda (SRB),185,76,RADONJIC,Nemanja
Serbia,20,MF,MILINKOVIC-SAVIC Sergej,27.02.1995,SERGEJ,SS Lazio (ITA),192,76,MILINKOVIC-SAVIC,Sergej
Serbia,13,DF,VELJKOVIC Milos,26.09.1995,VELJKOVIĆ,SV Werder Bremen (GER),188,77,VELJKOVIC,Milos
Serbia,3,DF,TOSIC Dusko,19.01.1985,TOŠIĆ,Besiktas JK (TUR),185,79,TOSIC,Dusko
Serbia,4,MF,MILIVOJEVIC Luka,07.04.1991,MILIVOJEVIĆ,Crystal Palace FC (ENG),186,80,MILIVOJEVIC,Luka
Serbia,5,DF,SPAJIC Uros,13.02.1993,SPAJIĆ,RSC Anderlecht (BEL),188,82,SPAJIC,Uros
Serbia,9,FW,MITROVIC Aleksandar,16.09.1994,MITROVIĆ,Fulham FC (ENG),189,82,MITROVIC,Aleksandar
Serbia,16,MF,GRUJIC Marko,13.04.1996,GRUJIĆ,Cardiff City FC (WAL),190,82,GRUJIC,Marko
Serbia,17,MF,KOSTIC Filip,01.11.1992,KOSTIĆ,Hamburger SV (GER),184,82,KOSTIC,Filip
Serbia,11,DF,KOLAROV Aleksandar,10.11.1985,KOLAROV,AS Roma (ITA),187,83,KOLAROV,Aleksandar
Serbia,12,GK,RAJKOVIC Predrag,31.10.1995,RAJKOVIĆ,Maccabi Tel-Aviv FC (ISR),191,85,RAJKOVIC,Predrag
Serbia,21,MF,MATIC Nemanja,01.08.1988,MATIĆ,Manchester United FC (ENG),194,86,MATIC,Nemanja
Serbia,8,FW,PRIJOVIC Aleksandar,21.04.1990,PRIJOVIĆ,PAOK FC (GRE),191,88,PRIJOVIC,Aleksandar
Serbia,6,DF,IVANOVIC Branislav,22.02.1984,IVANOVIĆ,FC Zenit St. Petersburg (RUS),185,89,IVANOVIC,Branislav
Serbia,15,DF,MILENKOVIC Nikola,12.10.1997,MILENKOVIĆ,ACF Fiorentina (ITA),195,90,MILENKOVIC,Nikola
Serbia,23,GK,DMITROVIC Marko,24.01.1992,DMITROVIĆ,SD Eibar (ESP),194,90,DMITROVIC,Marko
Serbia,1,GK,STOJKOVIC Vladimir,28.07.1983,STOJKOVIĆ,FK Partizan (SRB),195,92,STOJKOVIC,Vladimir
Spain,12,DF,ODRIOZOLA Alvaro,14.12.1995,ODRIOZOLA,Real Sociedad (ESP),178,67,ODRIOZOLA,Alvaro
Spain,17,FW,ASPAS Iago,01.08.1987,IAGO ASPAS,Celta Vigo (ESP),176,67,ASPAS,Iago
Spain,21,FW,SILVA David,08.01.1986,SILVA,Manchester City FC (ENG),170,67,SILVA,David
Spain,6,MF,INIESTA Andres,11.05.1984,A. INIESTA,FC Barcelona (ESP),171,68,INIESTA,Andres
Spain,18,DF,ALBA Jordi,21.03.1989,JORDI ALBA,FC Barcelona (ESP),170,68,ALBA,Jordi
Spain,10,MF,THIAGO,11.04.1991,THIAGO,FC Bayern München (GER),174,70,THIAGO,
Spain,11,FW,VAZQUEZ Lucas,01.07.1991,LUCAS V.,Real Madrid CF (ESP),173,70,VAZQUEZ,Lucas
Spain,1,GK,DE GEA David,07.11.1990,DE GEA,Manchester United FC (ENG),190,71,DE,GEA David
Spain,9,FW,RODRIGO,06.03.1991,RODRIGO M.,Valencia CF (ESP),182,72,RODRIGO,
Spain,16,DF,MONREAL Nacho,26.02.1986,MONREAL,Arsenal FC (ENG),179,72,MONREAL,Nacho
Spain,2,DF,CARVAJAL Dani,11.01.1992,CARVAJAL,Real Madrid CF (ESP),173,73,CARVAJAL,Dani
Spain,8,MF,KOKE,08.01.1992,KOKE,Atletico Madrid (ESP),176,73,KOKE,
Spain,22,MF,ISCO,21.04.1992,ISCO,Real Madrid CF (ESP),176,74,ISCO,
Spain,15,DF,RAMOS Sergio,30.03.1986,RAMOS,Real Madrid CF (ESP),183,75,RAMOS,Sergio
Spain,7,MF,SAUL,21.11.1994,SAÚL,Atletico Madrid (ESP),183,76,SAUL,
Spain,20,MF,ASENSIO Marco,21.01.1996,ASENSIO,Real Madrid CF (ESP),182,76,ASENSIO,Marco
Spain,4,DF,NACHO,18.01.1990,NACHO,Real Madrid CF (ESP),179,77,NACHO,
Spain,5,MF,BUSQUETS Sergio,16.07.1988,SERGIO,FC Barcelona (ESP),189,78,BUSQUETS,Sergio
Spain,14,DF,AZPILICUETA Cesar,28.08.1989,AZPILICUETA,Chelsea FC (ENG),178,78,AZPILICUETA,Cesar
Spain,13,GK,ARRIZABALAGA Kepa,03.10.1994,ARRIZABALAGA,Athletic Bilbao (ESP),189,84,ARRIZABALAGA,Kepa
Spain,3,DF,PIQUE Gerard,02.02.1987,PIQUÉ,FC Barcelona (ESP),194,85,PIQUE,Gerard
Spain,19,FW,COSTA Diego,07.10.1988,DIEGO COSTA,Atletico Madrid (ESP),185,86,COSTA,Diego
Spain,23,GK,REINA Pepe,31.08.1982,REINA,SSC Napoli (ITA),188,92,REINA,Pepe
Sweden,21,MF,DURMAZ Jimmy,22.03.1989,DURMAZ,Toulouse FC (FRA),180,69,DURMAZ,Jimmy
Sweden,7,MF,LARSSON Sebastian,06.06.1985,LARSSON,Hull City FC (ENG),178,70,LARSSON,Sebastian
Sweden,16,DF,KRAFTH Emil,02.08.1994,KRAFTH,Bologna FC (ITA),181,72,KRAFTH,Emil
Sweden,15,MF,HILJEMARK Oscar,28.06.1992,HILJEMARK,Genoa CFC (ITA),184,73,HILJEMARK,Oscar
Sweden,8,MF,EKDAL Albin,28.07.1989,EKDAL,Hamburger SV (GER),186,75,EKDAL,Albin
Sweden,6,DF,AUGUSTINSSON Ludwig,21.04.1994,AUGUSTINSSON,SV Werder Bremen (GER),181,76,AUGUSTINSSON,Ludwig
Sweden,9,FW,BERG Marcus,17.08.1986,BERG,Al Ain FC (UAE),183,76,BERG,Marcus
Sweden,19,MF,ROHDEN Marcus,11.05.1991,ROHDÉN,FC Crotone (ITA),182,76,ROHDEN,Marcus
Sweden,2,DF,LUSTIG Mikael,13.12.1986,LUSTIG,Celtic FC (SCO),189,77,LUSTIG,Mikael
